question;type;sql;relevant_values;variation
Oye, ¿cuánto fue el consumo mensual del edificio escolara primaria en el mes de marzo del 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Primaria' AND m.""year_month"" = DATE '2025-03-01';";Escuela Primaria;rephrased_2
¿Me puedes decir cuál fue el total de consumo del edificio Escuela Primaria durante el mes de marzo de 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Primaria' AND m.""year_month"" = DATE '2025-03-01';";Escuela Primaria;rephrased_3
Para marzo de 2025, ¿cuál fue el consumo total del edificio de la escuela primaria?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Primaria' AND m.""year_month"" = DATE '2025-03-01';";Escuela Primaria;rephrased_4
¿Cuánto consumió el edificio de la Escuela Primaria en marzo del 2025 en total?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Primaria' AND m.""year_month"" = DATE '2025-03-01';";Escuela Primaria;rephrased_5
¿Cómo varió el consumo total del edificio Escuela Secundaria entre marzo y abril de 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Secundaria' AND m.""year_month"" = DATE '2025-04-01';";Escuela Secundaria;original
¿Cuál fue la variación en el consumo total del edificio de la Escuela Secundaria entre marzo y abril de 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Secundaria' AND m.""year_month"" = DATE '2025-04-01';";Escuela Secundaria;rephrased_1
¿Cómo cambió la cantidad total de consumo en la escuela secundaria de marzo a abril de 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Secundaria' AND m.""year_month"" = DATE '2025-04-01';";Escuela Secundaria;rephrased_2
Me puedes decir como vario el consumo total en el edifico Escuela secundaría entre marzo y abril del 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Secundaria' AND m.""year_month"" = DATE '2025-04-01';";Escuela Secundaria;rephrased_3
Entre marzo y abril de 2025, ¿qué diferencia hubo en el consumo global del edificio de la Escuela Secundaria?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Secundaria' AND m.""year_month"" = DATE '2025-04-01';";Escuela Secundaria;rephrased_4
¿Qué tanto se modificó el consumo completo del edificio secunndaria entre marzo y abril 2025?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escuela Secundaria' AND m.""year_month"" = DATE '2025-04-01';";Escuela Secundaria;rephrased_5
¿Cuál fue la diferencia en kWh de consumo mensual del edificio Estación Central entre febrero y marzo de 2025?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"" AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Estación Central' AND m.""year_month"" = DATE '2025-03-01';";Estación Central;original
¿Cuánto varió el consumo mensual en kWh del edificio Estación Central entre febrero y marzo de 2025?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"" AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Estación Central' AND m.""year_month"" = DATE '2025-03-01';";Estación Central;rephrased_1
¿Cuál es la diferencia en consumo de energía en kWh para Estacion Central entre los meses de febrero y marzo de 2025?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"" AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Estación Central' AND m.""year_month"" = DATE '2025-03-01';";Estación Central;rephrased_2
Oye, ¿sabés cuánto cambió el uso de electricidad en kWh del edificio Estación Central de febrero a marzo de 2025?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"" AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Estación Central' AND m.""year_month"" = DATE '2025-03-01';";Estación Central;rephrased_3
Me podrías decir qué diferencia hubo en kilovatios-hora consumidos por el edificio Estación Centrale entre febrero y marzo del 2025?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"" AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Estación Central' AND m.""year_month"" = DATE '2025-03-01';";Estación Central;rephrased_4
cual fue la diferencia de consumo mensual en kwh entre febrero y marzo de 2025 en el edificio estacion central?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"" AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Estación Central' AND m.""year_month"" = DATE '2025-03-01';";Estación Central;rephrased_5
¿Cuál fue la desviación estándar diaria de la semana que empezó el 2025-03-10 para el edificio Estadio Olímpico?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Estadio Olímpico' AND w.""week_start"" = DATE '2025-03-10';";Estadio Olímpico;original
¿Qué valor de desviación estándar diaria se registró durante la semana que comenzó el 10 de marzo de 2025 en el edificio Estadio Olímpico?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Estadio Olímpico' AND w.""week_start"" = DATE '2025-03-10';";Estadio Olímpico;rephrased_1
¿Me puedes dar la desviación estándar de cada día de la semana que inició el 2025-03-10 para el edificio Estadio Olimpico?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Estadio Olímpico' AND w.""week_start"" = DATE '2025-03-10';";Estadio Olímpico;rephrased_2
Para el edificio Estadio Olímpico, ¿cuál fue la desviación estándar diaria correspondiente a la semana que arranca el 10/03/2025?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Estadio Olímpico' AND w.""week_start"" = DATE '2025-03-10';";Estadio Olímpico;rephrased_3
¿Cual fue la desviacion estandar diaria de la semana que empezo el 2025-03-10 para el edificio Estadio Olimpico?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Estadio Olímpico' AND w.""week_start"" = DATE '2025-03-10';";Estadio Olímpico;rephrased_4
En la semana que empieza el 2025-03-10, ¿qué tanto varió diariamente la desviación estándar en el edificio Estadio Olímpico?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Estadio Olímpico' AND w.""week_start"" = DATE '2025-03-10';";Estadio Olímpico;rephrased_5
¿Cuál fue el consumo total y el consumo diario promedio del edificio Hospital General en el mes actual?;Multi Variables;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital General' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital General;original
¿Me podrías informar cuál fue el total de consumo y el promedio diario de consumo del Hospital General durante este mes?;Multi Variables;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital General' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital General;rephrased_1
¿Cuánto consumió en total y cuánto fue el consumo medio diario del edificio llamado Hospital Genral este mes?;Multi Variables;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital General' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital General;rephrased_2
¿Cuál es el consumo global y el consumo diario promedio del hospital general en el mes que estamos?;Multi Variables;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital General' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital General;rephrased_3
Oye, sabes cuánto se gastó en total y al día en el hospital general ahora en el mes que corre?;Multi Variables;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital General' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital General;rephrased_4
¿Podrías darme el total y el promedio diario de consumo de energía del Hospital General para el mes actual?;Multi Variables;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital General' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital General;rephrased_5
¿Qué diferencia hubo en el consumo del edificio Hospital Margarita entre este mes y el mes anterior?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital Santa Margarita' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital Santa Margarita;original
¿Cuánto varió el consumo del Hospital Margarita comparando este mes con el anterior?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital Santa Margarita' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital Santa Margarita;rephrased_1
¿Qué cambios se registraron en el gasto energético del edifício Hospital Margaritta entre estos dos meses?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital Santa Margarita' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital Santa Margarita;rephrased_2
Oye, ¿sabes cuánto consumió el Hospital Margarita ahora y el mes pasado? ¿Hay mucha diferencia?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital Santa Margarita' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital Santa Margarita;rephrased_3
¿Podrías decirme cómo cambió el consumo del edificio Hospital Margarita de un mes a otro?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital Santa Margarita' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital Santa Margarita;rephrased_4
¿Me podrías informar la diferencia en consumo del hospital Margarita entre este mes y el pasado?;Diferencia Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", m.""diff_pct_consumption_prev_month"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Hospital Santa Margarita' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Hospital Santa Margarita;rephrased_5
¿Cómo ha variado el consumo diario promedio del edificio Hotel Riverside durante las últimas cuatro semanas?;Consumo Diario Promedio;"SELECT b.""name"" AS building_name, w.""week_start"", w.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Hotel Riverside' AND w.""week_start"" >= DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '28 days' ORDER BY w.""week_start"";";Hotel Riverside;original
¿Cuál ha sido la variación en el consumo promedio diario del Hotel Riverside durante las últimas cuatro semanas?;Consumo Diario Promedio;"SELECT b.""name"" AS building_name, w.""week_start"", w.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Hotel Riverside' AND w.""week_start"" >= DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '28 days' ORDER BY w.""week_start"";";Hotel Riverside;rephrased_1
Me podrías decir cómo ha cambiado el consumo diario medio en el edificio Hotel Riverside en las últimas 4 semanas?;Consumo Diario Promedio;"SELECT b.""name"" AS building_name, w.""week_start"", w.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Hotel Riverside' AND w.""week_start"" >= DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '28 days' ORDER BY w.""week_start"";";Hotel Riverside;rephrased_2
¿Cómo a cambiado el consumo diario promedio del edificio Hotel Riversaid en las ultimas cuatro semanas?;Consumo Diario Promedio;"SELECT b.""name"" AS building_name, w.""week_start"", w.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Hotel Riverside' AND w.""week_start"" >= DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '28 days' ORDER BY w.""week_start"";";Hotel Riverside;rephrased_3
Quisiera saber cómo ha fluctuado el consumo promedio diario del edificio Riverside Hotel en el último mes, ¿me puedes ayudar?;Consumo Diario Promedio;"SELECT b.""name"" AS building_name, w.""week_start"", w.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Hotel Riverside' AND w.""week_start"" >= DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '28 days' ORDER BY w.""week_start"";";Hotel Riverside;rephrased_4
¿Podrías indicarme el comportamiento del consumo diario promedio del edificio Hotel Riverside en las cuatro semanas pasadas?;Consumo Diario Promedio;"SELECT b.""name"" AS building_name, w.""week_start"", w.""daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Hotel Riverside' AND w.""week_start"" >= DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '28 days' ORDER BY w.""week_start"";";Hotel Riverside;rephrased_5
¿Cuál es el consumo acumulado (YTD) del edificio Imperial Norte en lo que va del año?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Imperial Norte;original
¿Me podrías informar sobre el consumo total acumulado este año del edificio Imperial Norte?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Imperial Norte;rephrased_1
¿Cuánto ha sido el consumo YTD del edificio Imprerial Norte desde enero hasta ahora?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Imperial Norte;rephrased_2
¿Cuál es la suma del consumo eléctrico del edificio Imperial Norte en lo que va del año?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Imperial Norte;rephrased_3
Oye, ¿sabes cuánto ha consumido el edificio Imperial Norte en total este año hasta ahora?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Imperial Norte;rephrased_4
¿Cual es el concumo acumulado Edificio Imperial norte en lo que va del año?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Imperial Norte;rephrased_5
¿Cuál es el consumo acumulado (YTD) del edificio Museo de Arte en lo que va de año y cuál fue el acumulado el año pasado hasta el mismo mes?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Museo de Arte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Museo de Arte;original
¿Me podrías informar cuál ha sido el consumo total hasta la fecha (YTD) del edificio Museo de Arte en este año, y cómo se compara con el consumo acumulado del año pasado hasta el mismo mes?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Museo de Arte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Museo de Arte;rephrased_1
¿Cuánto consumo acumulado lleva el Museo de Arte en lo que va del año y qué registro tuvo el año anterior hasta este mismo mes?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Museo de Arte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Museo de Arte;rephrased_2
Hola, necesito saber el consumo actual del edifcio Muséo de Arte en todo este año, y también cuánto fue hasta el mismo mes el año pasado.;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Museo de Arte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Museo de Arte;rephrased_3
¿Podrías decirme el consumo acumulado desde enero a la fecha del Museo de Arte y también el acumulado que tuvo el año pasado hasta el mismo período?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Museo de Arte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Museo de Arte;rephrased_4
Oye, ¿me dices cuánto lleva consumido el Museo de Arty este año y cuánto consumió más o meno igual hasta donde vamos del año pasado?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Museo de Arte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";Museo de Arte;rephrased_5
¿Cuál fue la desviación estándar diaria de la primera semana de abril de 2025 para el edificio Polideportivo Municipal?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Polideportivo Municipal' AND w.""week_start"" = DATE '2025-04-07';";Polideportivo Municipal;original
¿Cuál fue la desviación estándar diaria en la primera semana de abril de 2025 para el Polideprotivo Municipal?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Polideportivo Municipal' AND w.""week_start"" = DATE '2025-04-07';";Polideportivo Municipal;rephrased_1
Me podrías decir la desviacion estandar diaria del edificio Polideportivo Municipal durante la primera semana de abril de 2025?;Desviación estándar diaria semanal;"SELECT b.""name"" AS building_name, w.""week_start"", w.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_weekly_metrics"" w ON b.""cups"" = w.""cups"" WHERE b.""name"" = 'Polideportivo Municipal' AND w.""week_start"" = DATE '2025-04-07';";Polideportivo Municipal;rephrased_2
